     0/299     3.59G    0.1056   0.09403   0.02236    0.2219        22       640   0.00573    0.0512  0.003239 0.0005747   0.08484   0.07119   0.02309
     1/299     10.8G   0.09312   0.08749   0.01843     0.199        25       640    0.2264    0.3835    0.1685   0.03694   0.07312   0.06346     0.016
     2/299     10.8G   0.08158   0.07854   0.01391     0.174        63       640    0.5149    0.4599    0.4308    0.1458   0.05994   0.05176   0.01291
     3/299     10.8G   0.07538   0.07456   0.01146    0.1614        21       640    0.5923     0.578    0.5342    0.1771   0.05601   0.04599    0.0104
     4/299     10.8G   0.06881   0.07194  0.009403    0.1501        26       640    0.7815    0.6735    0.7338    0.3311   0.04899   0.04082  0.008918
     5/299     10.8G   0.06388   0.06824  0.008444    0.1406        28       640     0.773    0.6686    0.7226    0.3349    0.0499   0.04353  0.008525
     6/299     10.8G   0.06028   0.06701  0.007627    0.1349        20       640    0.8574    0.7947    0.8496    0.4426   0.03956   0.03624  0.007385
     7/299     10.8G    0.0576   0.06427  0.007031    0.1289        16       640    0.8577    0.8075    0.8619    0.4402   0.03827   0.03604  0.008556
     8/299     10.8G   0.05525   0.06231  0.006898    0.1245        20       640    0.8593     0.819    0.8734    0.4689   0.03675   0.03614   0.00709
     9/299     10.8G   0.05424   0.06265  0.006435    0.1233        30       640    0.8795    0.7764    0.8677    0.4575   0.03728   0.03433  0.008907
    10/299     10.8G    0.0525   0.06109  0.006019    0.1196        36       640    0.8743    0.8228    0.8739    0.4825   0.03619   0.03525  0.007109
    11/299     10.8G    0.0523   0.06164  0.005975    0.1199        19       640    0.8777    0.8587    0.9018     0.504   0.03515   0.03342  0.006461
    12/299     10.8G   0.05104   0.06058   0.00577    0.1174        32       640    0.8873    0.8274    0.8954    0.5135   0.03425   0.03442  0.007361
    13/299     10.8G   0.05057   0.06045  0.005829    0.1168        29       640    0.8916    0.8549    0.9011    0.5232   0.03339   0.03334  0.006298
    14/299     10.8G   0.04981   0.05961  0.005642    0.1151        15       640    0.8947    0.8462    0.9024    0.5228   0.03371   0.03353   0.00657
    15/299     10.8G   0.04925   0.05881   0.00516    0.1132        15       640    0.9042    0.8621    0.9052    0.5279   0.03379   0.03285  0.006357
    16/299     10.8G   0.04898   0.05893  0.005332    0.1132        33       640    0.8869    0.8303    0.9025    0.5151   0.03396   0.03346  0.007055
    17/299     10.8G   0.04864   0.05839  0.005233    0.1123        17       640    0.9106    0.8536    0.9119    0.5358   0.03249   0.03259  0.006448
    18/299     10.8G   0.04707   0.05732  0.005244    0.1096        26       640    0.8763     0.866    0.9052    0.5357   0.03282   0.03248  0.007173
    19/299     10.8G   0.04793     0.058  0.005094     0.111        27       640    0.9079    0.8578    0.9093    0.5399   0.03207   0.03279   0.00604
    20/299     10.8G    0.0462   0.05627  0.004889    0.1074        30       640      0.91    0.8697    0.9144    0.5482   0.03157   0.03207  0.006271
    21/299     10.8G   0.04653   0.05693  0.004775    0.1082        18       640    0.9076    0.8753    0.9144    0.5468   0.03201   0.03239  0.006207
    22/299     10.8G   0.04638   0.05684  0.004791     0.108        31       640    0.9152    0.8687    0.9209    0.5592   0.03156   0.03154  0.006123
    23/299     10.8G   0.04578   0.05625  0.004702    0.1067        29       640     0.887    0.8919    0.9189    0.5477   0.03133   0.03215  0.005738
    24/299     10.8G   0.04695   0.05787   0.00456    0.1094        42       640    0.9329    0.8395    0.9171    0.5531   0.03127   0.03314  0.005664
    25/299     10.8G   0.04592   0.05584  0.004531    0.1063        19       640    0.9122    0.8757    0.9208    0.5681   0.03063   0.03127  0.005743
    26/299     10.8G   0.04573   0.05574  0.004583    0.1061        27       640    0.9235    0.8776    0.9274     0.575   0.03036   0.03105  0.005604
    27/299     10.8G   0.04549   0.05689  0.004383    0.1068        43       640     0.914    0.8843    0.9217    0.5625   0.03066   0.03216  0.005634
    28/299     10.8G   0.04546   0.05625  0.004461    0.1062        53       640    0.9052    0.8862    0.9224    0.5686   0.03038   0.03163  0.005908
    29/299     10.8G   0.04538   0.05516  0.004482     0.105        21       640    0.9202    0.8727    0.9214    0.5745   0.03003    0.0317  0.005982
    30/299     10.8G   0.04444   0.05675  0.004369    0.1056        20       640     0.918    0.8861    0.9221    0.5677   0.03008   0.03194  0.005838
    31/299     10.8G   0.04468   0.05475  0.004442    0.1039        25       640    0.9221    0.8828    0.9274    0.5777   0.03031   0.03129  0.005632
    32/299     10.8G   0.04485   0.05568  0.004213    0.1047        19       640    0.9175    0.8911    0.9304    0.5789   0.02996   0.03085  0.006062
    33/299     10.8G   0.04412   0.05381  0.004449    0.1024        26       640    0.9182    0.8867    0.9263    0.5794   0.02957   0.03074   0.00597
    34/299     10.8G   0.04477   0.05614  0.004288    0.1052        39       640    0.9274     0.877    0.9273    0.5767   0.02971     0.031  0.005949
    35/299     10.8G   0.04412   0.05478  0.004157    0.1031        34       640    0.9185    0.8914    0.9282    0.5808   0.02958   0.03128  0.005662
    36/299     10.8G   0.04351   0.05448  0.004233    0.1022        63       640    0.9319    0.8899    0.9292     0.584   0.02932   0.03071   0.00569
    37/299     10.8G     0.044   0.05349   0.00423    0.1017        26       640    0.9182    0.8823    0.9299    0.5819   0.02913   0.03123  0.005533
    38/299     10.8G   0.04327   0.05431  0.004242    0.1018        32       640     0.922    0.8873    0.9322    0.5946   0.02911   0.03098  0.005552
    39/299     10.8G   0.04356   0.05394  0.004174    0.1017        21       640    0.9287    0.8955    0.9321    0.5862   0.02923   0.03052  0.005525
    40/299     10.8G   0.04348   0.05461  0.004064    0.1022        25       640    0.9146    0.9027    0.9326    0.5859   0.02916   0.03075  0.006028
    41/299     10.8G   0.04346   0.05419  0.004027    0.1017        15       640    0.9248    0.8943     0.934     0.592   0.02873   0.03106  0.005825
    42/299     10.8G   0.04346   0.05456  0.004007     0.102        18       640    0.9178    0.8971    0.9335    0.5847   0.02881   0.03061    0.0058
    43/299     10.8G   0.04277   0.05331  0.003867   0.09994        26       640    0.9211    0.8939    0.9327    0.5928   0.02867   0.03086  0.005739
    44/299     10.8G   0.04258   0.05373  0.004044    0.1004        12       640    0.9192    0.9073    0.9353    0.6006    0.0287   0.03018   0.00543
    45/299     10.8G    0.0425   0.05329  0.003862   0.09966        27       640     0.918    0.8956    0.9352    0.5898   0.02893   0.03042  0.005589
    46/299     10.8G   0.04269   0.05303  0.003975   0.09969        18       640    0.9282    0.8869    0.9332    0.5944   0.02859   0.03068  0.005314
    47/299     10.8G    0.0424   0.05438  0.003818    0.1006        23       640    0.9118    0.8992    0.9339    0.5967    0.0285   0.03064  0.005253
    48/299     10.8G   0.04246   0.05267   0.00397    0.0991        25       640    0.9213    0.9015    0.9365    0.5975   0.02851   0.03059  0.005243
    49/299     10.8G    0.0426   0.05248  0.003874   0.09896        31       640    0.9384    0.8951    0.9375    0.5955   0.02822   0.03004  0.005159
    50/299     10.8G   0.04293   0.05358  0.003976    0.1005       179       640    0.9293    0.8992    0.9389    0.6005    0.0283   0.02993  0.005516
    51/299     10.8G   0.04166    0.0532  0.003653   0.09852        30       640    0.9255    0.9091    0.9377    0.5957   0.02845   0.03032  0.005318
    52/299     10.8G   0.04212   0.05328  0.003925   0.09932        17       640    0.9317    0.8944    0.9377     0.598   0.02828   0.02988  0.005266
    53/299     10.8G    0.0428    0.0533   0.00381    0.0999        16       640    0.9282    0.9031    0.9369    0.6015    0.0281   0.03042   0.00552
    54/299     10.8G   0.04214   0.05313   0.00373     0.099        30       640    0.9078    0.9151    0.9383    0.6069   0.02804   0.02982   0.00554
    55/299     10.8G   0.04178   0.05278  0.003666   0.09823        35       640    0.9239    0.9044    0.9393    0.6021   0.02814   0.03004  0.005264
    56/299     10.8G   0.04244     0.053  0.003635   0.09907        15       640    0.9266    0.9008    0.9405    0.6011   0.02802    0.0297  0.005464
    57/299     10.8G   0.04193   0.05227  0.003614   0.09781        24       640    0.9198    0.9106    0.9376    0.6037   0.02819   0.02999  0.005385
    58/299     10.8G   0.04153    0.0521  0.003888   0.09752        26       640    0.9254    0.9045     0.939    0.6054   0.02796   0.03006   0.00538
    59/299     10.8G   0.04189   0.05319  0.004042   0.09912        28       640    0.9234    0.9044    0.9387    0.6025   0.02795   0.03004  0.005104
    60/299     10.8G   0.04157   0.05279  0.003636   0.09799        12       640    0.9244    0.9083    0.9396    0.6051   0.02783   0.02983  0.005146
    61/299     10.8G   0.04033   0.05225  0.003626   0.09621        25       640    0.9256    0.9077    0.9394    0.6029   0.02791   0.03009  0.005319
    62/299     10.8G   0.04158    0.0516   0.00375   0.09694        18       640    0.9284    0.9052    0.9395    0.6054   0.02773   0.02975  0.005172
    63/299     10.8G   0.04172   0.05292  0.003533   0.09818        18       640    0.9309    0.9057    0.9432      0.61   0.02771   0.02958  0.005181
    64/299     10.8G   0.04111    0.0519  0.003815   0.09683        23       640    0.9224     0.912    0.9413    0.6085   0.02756    0.0297  0.005221
    65/299     10.8G   0.04146   0.05283  0.003746   0.09804        28       640    0.9309     0.905    0.9403    0.6104   0.02758   0.02972  0.005283
    66/299     10.8G   0.04096   0.05158  0.003903   0.09644        23       640    0.9372    0.8942      0.94    0.6101   0.02765    0.0298  0.005208
    67/299     10.8G    0.0418   0.05229  0.003511    0.0976        24       640    0.9309    0.9032    0.9412     0.608   0.02761   0.02993  0.005202
    68/299     10.8G   0.04151   0.05227  0.003493   0.09728        32       640    0.9368    0.8948    0.9378    0.6101   0.02749   0.02964   0.00558
    69/299     10.8G   0.04153   0.05226  0.003792   0.09758        34       640    0.9326    0.9034     0.943    0.6118   0.02749   0.02974  0.005117
    70/299     10.8G   0.04086   0.05182  0.003463   0.09615        64       640    0.9309    0.9004    0.9413    0.6105    0.0275    0.0297  0.005376
    71/299     10.8G   0.04083    0.0518  0.003393   0.09602        30       640    0.9301    0.8996    0.9414    0.6091   0.02752   0.02976  0.005338
    72/299     10.8G   0.04097   0.05219  0.003725   0.09688        35       640    0.9344    0.8988    0.9406    0.6093   0.02731   0.02975  0.005339
    73/299     10.8G   0.04136   0.05361  0.003394   0.09836        25       640    0.9332    0.9026    0.9416     0.615   0.02736   0.02966  0.005391
    74/299     10.8G   0.04078   0.05155  0.003675   0.09601        24       640    0.9311    0.9058    0.9435    0.6185   0.02713   0.02943  0.005258
    75/299     10.8G   0.04143   0.05118  0.003497   0.09611        20       640    0.9338    0.9071    0.9432     0.614   0.02731    0.0293   0.00541
    76/299     10.8G   0.04171   0.05227    0.0037   0.09768        30       640    0.9281     0.908     0.942    0.6147   0.02728   0.02931   0.00534
    77/299     10.8G   0.04023   0.05141  0.003584   0.09523        30       640    0.9307    0.9093    0.9421    0.6195   0.02718   0.02948  0.005202
    78/299     10.8G   0.04048   0.05174  0.003558   0.09578        26       640    0.9259    0.9134    0.9424    0.6153   0.02725   0.02948  0.005154
    79/299     10.8G   0.04007   0.05058  0.003582   0.09424        29       640    0.9256     0.916    0.9426    0.6175    0.0272   0.02931   0.00528
    80/299     10.8G   0.04105   0.05201  0.003337    0.0964        35       640    0.9421    0.8992    0.9436    0.6191   0.02709    0.0293  0.005257
    81/299     10.8G   0.04025   0.05052  0.003571   0.09434        32       640    0.9388    0.8983    0.9423    0.6184   0.02707   0.02931  0.005327
    82/299     10.8G   0.04026   0.05185  0.003423   0.09554        24       640    0.9348    0.9061    0.9432      0.62   0.02705   0.02917  0.005231
    83/299     10.8G   0.03982   0.05108   0.00361   0.09451        33       640    0.9372    0.8988     0.945    0.6186   0.02708    0.0293  0.005301
    84/299     10.8G   0.04048   0.05056   0.00338   0.09443        30       640    0.9349    0.9055     0.945    0.6167   0.02707   0.02929  0.005383
    85/299     10.8G   0.04018   0.05144  0.003489   0.09511        62       640    0.9224    0.9176     0.943    0.6195   0.02692   0.02927  0.005165
    86/299     10.8G   0.04021   0.04958  0.003331   0.09312        34       640     0.924    0.9133    0.9425    0.6187   0.02689   0.02927  0.005343
    87/299     10.8G   0.03998   0.05158  0.003315   0.09487        26       640    0.9321     0.911    0.9427    0.6188   0.02698   0.02924  0.005145
    88/299     10.8G   0.03983   0.05013  0.003345   0.09331        31       640    0.9265    0.9158    0.9437     0.619   0.02696   0.02939  0.005159
    89/299     10.8G   0.03996   0.05164  0.003257   0.09485        35       640    0.9367    0.9054    0.9447    0.6201   0.02687   0.02936  0.005152
    90/299     10.8G   0.03995   0.05015  0.003415   0.09352        18       640    0.9354    0.9054    0.9416    0.6182   0.02697   0.02936    0.0052
    91/299     10.8G   0.04091   0.05098  0.003422   0.09531        31       640    0.9446    0.8989    0.9431    0.6217   0.02688   0.02931  0.005113
    92/299     10.8G   0.03998   0.05089  0.003317   0.09419        21       640    0.9251    0.9193    0.9448    0.6195   0.02691   0.02928  0.005136
    93/299     10.8G   0.03933   0.05001  0.003168   0.09251        26       640    0.9322    0.9114    0.9458    0.6199   0.02686   0.02918  0.005312
    94/299     10.8G   0.04018   0.05061  0.003302   0.09409        30       640    0.9391    0.9033     0.945    0.6212   0.02681   0.02909  0.005423
    95/299     10.8G   0.03993    0.0512  0.003394   0.09452        45       640    0.9237    0.9183    0.9425    0.6195    0.0268   0.02919  0.005272
